,date,cc_data,,dates,I
sc_884,2022-01-28,28,,2022-01-24,17.6124503
sc_884,2022-01-29,384,,2022-01-25,17.829457
sc_884,2022-01-30,313,,2022-01-26,18.01573457
sc_884,2022-01-31,36,,2022-01-27,18.20718651
sc_884,2022-02-01,224,,2022-01-28,18.40983843
sc_884,2022-02-02,131,,2022-01-29,18.63397515
sc_884,2022-02-03,18,,2022-01-30,18.89884787
sc_884,2022-02-04,157,,2022-01-31,19.22109557
sc_884,2022-02-05,35,,2022-02-01,19.60734966
sc_884,2022-02-06,26,,2022-02-02,20.04872431
sc_884,2022-02-07,34,,2022-02-03,20.52117491
sc_884,2022-02-08,38,,2022-02-04,20.99289329
sc_884,2022-02-09,34,,2022-02-05,21.43614384
sc_884,2022-02-10,33,,2022-02-06,21.84651216
sc_884,2022-02-11,101,,2022-02-07,22.20702618
sc_884,2022-02-12,42,,2022-02-08,22.38649853
sc_884,2022-02-13,12,,2022-02-09,22.38550355
sc_884,2022-02-14,16,,2022-02-10,22.30994657
sc_884,2022-02-15,37,,2022-02-11,22.29374544
sc_884,2022-02-16,17,,2022-02-12,22.4513614
sc_884,2022-02-17,13,,2022-02-13,22.84964283
sc_884,2022-02-18,17,,2022-02-14,23.50302143
sc_884,2022-02-19,10,,2022-02-15,24.38540437
sc_884,2022-02-20,0,,2022-02-16,25.44506205
sc_884,2022-02-21,8,,2022-02-17,26.62757991
sc_884,2022-02-22,9,,2022-02-18,27.68720652
sc_884,2022-02-23,13,,2022-02-19,27.97616078
sc_884,2022-02-24,6,,2022-02-20,27.55464661
sc_884,2022-02-25,0,,2022-02-21,26.98404754
sc_884,2022-02-26,0,,2022-02-22,26.93176217
sc_884,2022-02-27,6,,2022-02-23,27.92244397
sc_884,2022-02-28,7,,2022-02-24,30.18978165
sc_884,2022-03-01,9,,2022-02-25,33.68187736
sc_884,2022-03-02,6,,2022-02-26,38.14934675
sc_884,2022-03-03,32,,2022-02-27,43.26937831
sc_884,2022-03-04,0,,2022-02-28,48.83342972
sc_884,2022-03-05,5,,2022-03-01,54.6877612
