dates,R_49049,,R_264,,,R_29019,,R_45045,,R_ca354,,R_co116,,R_oh102,,R_wi203
27/04/2022,0.980662837,,1.160866863,,,1.043062912,,0.529444649,,1.181546387,,1.110364741,,1.118993847,,1.04001859
28/04/2022,0.972682988,,1.157737324,,,1.023704181,,0.53069057,,1.178957245,,1.113765273,,1.081954555,,1.086934152
29/04/2022,0.964011541,,1.154147171,,,1.011617057,,0.53079798,,1.174810444,,1.116207274,,1.043275091,,1.140159055
30/04/2022,0.95502265,,1.150960171,,,1.009317442,,0.527147946,,1.168598356,,1.117546825,,1.003807646,,1.196898174
01/05/2022,0.94587818,,1.1487277,,,1.018117564,,0.518251513,,1.160328382,,1.117933313,,0.964000985,,1.25349737
02/05/2022,0.936040714,,1.147607267,,,1.038390407,,0.505021185,,1.150554628,,1.117939453,,0.923957994,,1.306009454
03/05/2022,0.924723275,,1.147711164,,,1.069297834,,0.491240951,,1.140257654,,1.118215033,,0.883967004,,1.350870265
04/05/2022,0.911358143,,1.149016026,,,1.108589948,,0.482000353,,1.130304789,,1.119214358,,0.845166459,,1.384386267
05/05/2022,0.895793086,,1.151397884,,,1.152801228,,0.480759194,,1.121134148,,1.121072838,,0.809347901,,1.402999589
06/05/2022,0.878334012,,1.154657348,,,1.197696984,,0.4893065,,1.112734062,,1.123565824,,0.778259843,,1.404922688
07/05/2022,0.859790501,,1.15854793,,,1.238957846,,0.506658784,,1.104782937,,1.126139792,,0.752566914,,1.390901105
08/05/2022,0.8416663,,1.162782058,,,1.272751717,,0.529819076,,1.096851235,,1.128034228,,0.732054876,,1.3640549
09/05/2022,0.826438948,,1.166987703,,,1.295580975,,0.554845089,,1.088532594,,1.128338963,,0.716070338,,1.329063318
10/05/2022,0.816764438,,1.170657417,,,1.305793161,,0.576508948,,1.079492729,,1.126377676,,0.703590578,,1.290299998
11/05/2022,0.814551841,,1.173178613,,,1.304582493,,0.590663923,,1.069735238,,1.121943969,,0.693165032,,1.250983285
12/05/2022,0.819995635,,1.174073022,,,1.294819771,,0.597230261,,1.059605611,,1.115331395,,0.683017018,,1.213198749
13/05/2022,0.829961019,,1.173336745,,,1.279464899,,0.602162617,,1.049575723,,1.10726544,,0.671740914,,1.178153033
14/05/2022,0.840004712,,1.171496108,,,1.260899374,,0.616315755,,1.040207639,,1.098826016,,0.65968155,,1.146373508
15/05/2022,0.847066756,,1.169102362,,,1.240948045,,0.648566833,,1.031916836,,1.09095344,,0.648446503,,1.117747428
16/05/2022,0.850903451,,1.166461884,,,1.220998854,,0.700314394,,1.024779353,,1.084130495,,0.639712048,,1.091582385
17/05/2022,0.854225997,,1.163640663,,,1.201746504,,0.766516769,,1.018503554,,1.078332442,,0.634534618,,1.067396968
18/05/2022,0.86185951,,1.160546485,,,1.183028167,,0.836467399,,1.012544886,,1.073138875,,0.633257986,,1.045291404
19/05/2022,0.879859914,,1.156915126,,,1.164421144,,0.898793095,,1.006356881,,1.0679172,,0.635847156,,1.02585606
