Dates,JH_S,CDC_S,JH_CASE_S,JH,CDC,CDC_DEATHS,JH_DEATHS
300,183,17582.4,11179,4.048402956,4.245078156,3.581835924,2.26245109
301,148,4426.01,6973,3.843419665,3.646012391,2.587710965,2.170261715
302,137,5160.1,5320,3.725911632,3.712658118,2.748188027,2.136720567
303,6,5968.89,1118,3.048441804,3.775893575,3.527501011,0.77815125
304,0,4210.68,0,0,3.624352237,2.877946952,0
305,24,4543.48,3499,3.543943942,3.657388621,2.161368002,1.380211242
306,20,6678.46,1123,3.050379756,3.824676329,2.382017043,1.301029996
307,9,4631.2,8081,3.907465107,3.665693537,2.814913181,0.954242509
308,52,6569.5,3226,3.508664363,3.817532317,3.245512668,1.716003344
309,880,6729.21,61961,4.792118418,3.827964082,2.996073654,2.944482672
310,15,5641.75,2236,3.349471799,3.751413838,3.345961542,1.176091259
311,47,6975.67,3634,3.560384923,3.843585927,3.223755454,1.672097858
312,34,7561.65,7882,3.896636431,3.878616572,1.431363764,1.531478917
313,12,7556,1524,3.182984967,3.878291949,2.971739591,1.079181246
314,0,4809.54,316,2.499687083,3.682103541,1.531478917,0
315,8,5086.34,2713,3.433449794,3.706405388,3.372727941,0.903089987
316,12,8760.64,582,2.764922985,3.942535834,3.800648355,1.079181246
317,15,7939.99,12072,4.081779227,3.899819955,1.505149978,1.176091259
318,67,8136.61,5913,3.771807879,3.9104435,2.925827575,1.826074803
319,25,6146.95,261,2.416640507,3.788659681,2.965201701,1.397940009
320,35,8704.2,1262,3.101059355,3.939728861,3.005609445,1.544068044
321,780,7514.51,106227,5.026234917,3.875900667,3.12904506,2.892094603
322,27,5958.05,2342,3.369586891,3.775104143,2.697229343,1.431363764
323,3017,6545.9,264399,5.422259808,3.815969366,1.875061263,3.47957531
324,3494,7390.73,237105,5.374940712,3.868687337,1.041392685,3.543322901
325,532,9205.13,41816,4.621342487,3.964029926,3.628593256,2.725911632
326,547,6295.68,38840,4.589279221,3.799042645,3.262925469,2.737987326
327,3165,7615.84,257919,5.411483336,3.881717811,2.62324929,3.500373714
328,784,6924.46,73980,4.869114327,3.840385911,1.079181246,2.894316063
329,0,6633.97,0,0,3.821773503,1.748188027,0
330,317,6176.89,27913,4.445806516,3.790769867,1.230448921,2.501059262
331,9,6787.87,3271,3.514680544,3.831733516,0,0.954242509
332,355,5757.75,31414,4.497123239,3.760252804,1.146128036,2.550228353
333,724,5782.72,64447,4.809202706,3.762132164,0,2.859738566
334,1608,7245.99,186969,5.271769605,3.86009773,1.342422681,3.206286044
335,0,5531.32,0,0,3.742828784,1.707570176,0
336,992,6201.7,78267,4.893578687,3.792510754,3.06483222,2.996511672
337,0,4065.96,1110,3.045322979,3.609163102,2.890979597,0
338,0,9899.25,49,1.69019608,3.995602292,3.638888425,0
339,1432,6683.89,177945,5.250285789,3.825029294,1.792391689,3.155943018
340,0,2606.55,0,0,3.41606606,2.799340549,0
341,0,5872.83,0,0,3.76884743,2.264817823,0
342,833,5406.14,89806,4.953305353,3.732887288,1.361727836,2.920645001
343,154,6808.46,10746,4.031246836,3.83304889,1.204119983,2.187520721
344,894,5278.2,56189,4.749651303,3.722485842,3.195622944,2.951337519
345,177,6621.27,9245,3.965906915,3.820941298,3.371621927,2.247973266
346,2513,6961.89,175277,5.243724931,3.842727157,3.144574208,3.400192489
347,6770,7797.45,774980,5.889290495,3.891952599,1.880813592,3.830588669
348,111,5245.45,4939,3.693639026,3.719782752,0,2.045322979
349,1009,6884.55,48860,4.688953463,3.837875558,1.491361694,3.003891166
350,1146,8172.09,39070,4.591843411,3.912333141,3.20167018,3.059184618
351,979,8100.59,67269,4.827814972,3.908516652,3.356981401,2.990782692
352,1174,5153.14,106604,5.027773501,3.712071941,2.911690159,3.069668097
353,472,7158.47,25731,4.410456665,3.854820209,4.033946203,2.673941999
354,175,7373.52,11287,4.052578525,3.867674863,1.748188027,2.243038049
355,89,10151.82,4938,3.693551086,4.006543909,2.158362492,1.949390007
356,3872,6582.68,319149,5.503993488,3.818402743,2.854913022,3.587935349
357,1479,6272.39,98081,4.991584885,3.797433054,2.178976947,3.169968174
358,438,6764.66,29013,4.462592638,3.830245973,3.573219827,2.641474111
359,58,7357.89,3580,3.553883027,3.866753291,3.117602692,1.763427994
360,246,6557.51,17803,4.250493192,3.816738962,3.781898919,2.390935107
361,109,6608.07,5663,3.753046562,3.820074635,3.318897715,2.037426498
362,38,13894.62,2311,3.363799945,4.142846674,3.563243701,1.579783597
363,90,6532.6,5043,3.702688968,3.815086067,3.460747542,1.954242509
364,64,6676.43,4585,3.66133934,3.8245443,2.5132176,1.806179974
365,141,5453.74,10362,4.015443588,3.73669443,2.584331224,2.149219113
366,174,4726.33,13827,4.140727963,3.674524041,3.015359755,2.240549248
367,1286,7675.17,53794,4.730733839,3.885088004,2.545307116,3.109240969
368,807,8759.02,30739,4.487689735,3.942455518,3.356025857,2.906873535
369,4409,7975.25,479640,5.680915394,3.901744306,3.02201574,3.644340099
370,107,7315.11,6384,3.805092878,3.864220861,2.858537198,2.029383778
371,763,7433.32,42698,4.630407533,3.871182829,1.785329835,2.882524538
372,301,8814.96,18364,4.263967284,3.945220346,1.568201724,2.478566496
373,70,5287.1,5046,3.702947246,3.723217525,1.544068044,1.84509804
374,65,6387.18,3157,3.499274582,3.805309155,3.342817315,1.812913357
375,1811,7235.53,109346,5.038802901,3.859470349,1.447158031,3.25791845
376,2557,6282.81,243110,5.385802823,3.798153926,2.346352974,3.407730728
377,794,7947.85,114380,5.058350092,3.900249662,1.919078092,2.899820502
378,192,6500.89,12803,4.107311745,3.812972818,1.832508913,2.283301229
379,31,7084.24,2997,3.476686743,3.850293266,0,1.491361694
380,108,7274.23,7053,3.848373884,3.861787029,1.949390007,2.033423755
381,1743,5452.3,123507,5.091691573,3.736579744,0,3.241297387
382,2497,5788.51,105662,5.023918827,3.762566788,2.352182518,3.397418542
383,768,6579.4,40724,4.609850429,3.81818629,1.041392685,2.88536122
384,12285,7246.82,1552197,6.19094684,3.860147474,1.934498451,4.089375161
385,138,4637.42,22919,4.360195665,3.666276431,2.57054294,2.139879086
386,355,4632.36,27713,4.442683542,3.665802303,1.995635195,2.550228353
387,768,3606,62183,4.793671671,3.557025722,1.431363764,2.88536122
388,200,5670.51,12495,4.09673626,3.753622121,3.089905111,2.301029996
389,3301,7613.7,475796,5.677420787,3.88159576,1.62324929,3.518645524
390,1273,4345.02,144497,5.159858831,3.63799178,1.301029996,3.104828404
