,date,cc_data,,dates,I
ca_354,2022-08-18,34,,2022-08-04,35.43146884
ca_354,2022-08-19,21,,2022-08-05,34.85075326
ca_354,2022-08-20,20,,2022-08-06,34.23612456
ca_354,2022-08-21,23,,2022-08-07,33.64987678
ca_354,2022-08-22,44,,2022-08-08,33.10467325
ca_354,2022-08-23,33,,2022-08-09,32.59633733
ca_354,2022-08-24,40,,2022-08-10,32.11175748
ca_354,2022-08-25,12,,2022-08-11,31.6338265
ca_354,2022-08-26,24,,2022-08-12,31.14399437
ca_354,2022-08-27,19,,2022-08-13,30.62435029
ca_354,2022-08-28,14,,2022-08-14,30.06062273
ca_354,2022-08-29,37,,2022-08-15,29.44509791
ca_354,2022-08-30,16,,2022-08-16,28.78100584
ca_354,2022-08-31,20,,2022-08-17,28.08631181
ca_354,2022-09-01,31,,2022-08-18,27.34004984
ca_354,2022-09-02,18,,2022-08-19,26.50048301
ca_354,2022-09-03,15,,2022-08-20,25.5801462
ca_354,2022-09-04,9,,2022-08-21,24.62057869
ca_354,2022-09-05,16,,2022-08-22,23.67029863
ca_354,2022-09-06,23,,2022-08-23,22.7717621
ca_354,2022-09-07,17,,2022-08-24,21.95376133
ca_354,2022-09-08,20,,2022-08-25,21.23068974
ca_354,2022-09-09,16,,2022-08-26,20.60423968
ca_354,2022-09-10,13,,2022-08-27,20.06419883
ca_354,2022-09-11,18,,2022-08-28,19.58937226
ca_354,2022-09-12,25,,2022-08-29,19.15469837
ca_354,2022-09-13,20,,2022-08-30,18.75916788
ca_354,2022-09-14,28,,2022-08-31,18.42588744
ca_354,2022-09-15,13,,2022-09-01,18.18192261
ca_354,2022-09-16,16,,2022-09-02,18.04423716
ca_354,2022-09-17,14,,2022-09-03,18.01112031
ca_354,2022-09-18,16,,2022-09-04,18.05719022
ca_354,2022-09-19,20,,2022-09-05,18.13837136
ca_354,2022-09-20,20,,2022-09-06,18.20333962
ca_354,2022-09-21,19,,2022-09-07,18.2114735
ca_354,2022-09-22,14,,2022-09-08,18.1611149
ca_354,2022-09-23,15,,2022-09-09,18.11122591
ca_354,2022-09-24,21,,2022-09-10,18.10539526
ca_354,2022-09-25,16,,2022-09-11,18.15078291
ca_354,2022-09-26,25,,2022-09-12,18.23662071
ca_354,2022-09-27,24,,2022-09-13,18.34348289
ca_354,2022-09-28,17,,2022-09-14,18.44928532
ca_354,2022-09-29,17,,2022-09-15,18.53308679
ca_354,2022-09-30,14,,2022-09-16,18.57797914
ca_354,2022-10-01,14,,2022-09-17,18.57286766
ca_354,2022-10-02,24,,2022-09-18,18.51523736
ca_354,2022-10-03,18,,2022-09-19,18.41539132
ca_354,2022-10-04,19,,2022-09-20,18.2948282
ca_354,2022-10-05,11,,2022-09-21,18.15676633
ca_354,2022-10-06,14,,2022-09-22,17.99170657
