,date,cc_data,,dates,I
co_116,2021-04-19,142,,2021-02-25,94.45328015
co_116,2021-04-20,160,,2021-02-26,95.41111263
co_116,2021-04-21,117,,2021-02-27,96.31501015
co_116,2021-04-22,153,,2021-02-28,97.20674074
co_116,2021-04-23,112,,2021-03-01,98.11618685
co_116,2021-04-24,111,,2021-03-02,99.03832843
co_116,2021-04-25,88,,2021-03-03,99.92601823
co_116,2021-04-26,160,,2021-03-04,100.731699
co_116,2021-04-27,46,,2021-03-05,101.4370086
co_116,2021-04-28,179,,2021-03-06,102.0488409
co_116,2021-04-29,152,,2021-03-07,102.5898411
co_116,2021-04-30,108,,2021-03-08,103.0918664
co_116,2021-05-01,102,,2021-03-09,103.5922972
co_116,2021-05-02,89,,2021-03-10,104.1307849
co_116,2021-05-03,144,,2021-03-11,104.7438435
co_116,2021-05-04,120,,2021-03-12,105.4589777
co_116,2021-05-05,109,,2021-03-13,106.2856358
co_116,2021-05-06,160,,2021-03-14,107.2025714
co_116,2021-05-07,124,,2021-03-15,108.1958285
co_116,2021-05-08,146,,2021-03-16,109.4771711
co_116,2021-05-09,135,,2021-03-17,111.1546449
co_116,2021-05-10,96,,2021-03-18,113.1552834
co_116,2021-05-11,86,,2021-03-19,115.3138739
co_116,2021-05-12,118,,2021-03-20,117.4368713
co_116,2021-05-13,66,,2021-03-21,119.3447354
co_116,2021-05-14,64,,2021-03-22,120.9060641
co_116,2021-05-15,59,,2021-03-23,122.0517302
co_116,2021-05-16,83,,2021-03-24,122.7730189
co_116,2021-05-17,72,,2021-03-25,123.1179334
co_116,2021-05-18,70,,2021-03-26,123.1816597
co_116,2021-05-19,98,,2021-03-27,123.0688413
co_116,2021-05-20,41,,2021-03-28,122.8574811
co_116,2021-05-21,45,,2021-03-29,122.6141207
co_116,2021-05-22,60,,2021-03-30,122.2527875
co_116,2021-05-23,48,,2021-03-31,121.6156546
co_116,2021-05-24,116,,2021-04-01,120.5544665
co_116,2021-05-25,75,,2021-04-02,118.9854356
co_116,2021-05-26,56,,2021-04-03,116.9255476
co_116,2021-05-27,38,,2021-04-04,114.4947687
co_116,2021-05-28,74,,2021-04-05,111.8783606
co_116,2021-05-29,42,,2021-04-06,109.2714999
co_116,2021-05-30,37,,2021-04-07,106.7960837
co_116,2021-05-31,38,,2021-04-08,104.3886055
co_116,2021-06-01,84,,2021-04-09,101.8422811
co_116,2021-06-02,55,,2021-04-10,98.95623281
co_116,2021-06-03,51,,2021-04-11,95.65831852
co_116,2021-06-04,54,,2021-04-12,91.99552039
